002136.SZ,安纳达,,全面要约,
600729.SH,重庆百货,27.16,全面要约,
600829.SH,人民同泰,6.65,全面要约,
600664.SH,哈药股份,3.83,全面要约,
002336.SZ,ST人乐,5.33,全面要约,
